公司,职位,城市,行业,职业技能,工作年限,薪资,融资情况
凡普金科,数据分析师,北京,金融,['数据分析'],3-5年,15k-25k,不需要融资
PINTEC,数据分析师,上海,"移动互联网,金融","['SQL', '数据分析']",1-3年,8k-15k,上市公司
霖梓控股,数据分析,杭州,"移动互联网,金融",[],1-3年,9k-18k,B轮
信链科技,数据分析师（策略方向）,北京,"移动互联网,金融","['数据分析', 'SQLServer']",3-5年,20k-30k,A轮
驰骛科技ChiefClouds,数据分析师,上海,"数据服务,移动互联网","['BI', 'SQL', '数据库', '数据分析']",3-5年,15k-30k,A轮
博雅大数据学院,数据分析师,北京,教育,['数据分析'],不限,10k-20k,未融资
舟恩信息,数据分析,深圳,移动互联网,"['可视化', 'BI', 'SQL']",1年以下,12k-18k,不需要融资
GeexFinance,数据分析师,上海,金融,"['商业', 'BI', '可视化', '数据分析']",3-5年,15k-25k,A轮
酷狗音乐,PTBU-数据分析师,广州,文娱丨内容,"['数据分析', '数据挖掘']",不限,15k-25k,上市公司
Hypers,数据分析师,上海,移动互联网,['数据分析'],1-3年,8k-16k,上市公司
一面数据,数据分析师(商业方向，初级）,深圳,"移动互联网,数据服务",[],1年以下,8k-15k,A轮
睿琪软件,数据分析师,杭州,数据服务,"['增长黑客', '数据分析', '商业']",1-3年,10k-15k,不需要融资
玖富数科集团,数据分析师（经营分析方向）,北京,金融,"['数据运营', '商业', 'SQL']",1-3年,10k-20k,D轮及以上
Keep,数据分析师 (MJ000294),北京,"社交,文娱丨内容","['数据分析', 'BI', '商业', '数据运营']",3-5年,15k-25k,D轮及以上
PINTEC,数据分析师,北京,"移动互联网,金融",['数据分析'],1-3年,15k-25k,上市公司
霖梓控股,数据分析师,杭州,"移动互联网,金融",['数据分析'],3-5年,15k-25k,B轮
酷狗音乐,ZBBU-数据分析师,广州,文娱丨内容,['数据分析'],1-3年,10k-20k,上市公司
驰骛科技ChiefClouds,数据分析师,上海,"数据服务,移动互联网","['BI', 'SQL', '数据分析', '数据库']",3-5年,15k-30k,A轮
绿湾科技,数据分析师（大数据AI行业）,北京,"企业服务,数据服务","['数据分析', 'SPSS']",5-10年,20k-40k,B轮
商汤科技,数据分析师/数据科学家,北京,人工智能,"['数据分析', '数据挖掘', '算法']",3-5年,20k-40k,C轮
趣店,数据分析师,厦门,"移动互联网,金融","['数据分析', '策略运营']",3-5年,15k-30k,上市公司
瑞小云,数据分析师,苏州,移动互联网,"['数据分析', 'SQL', '数据库', '可视化']",3-5年,15k-25k,不需要融资
奖多多,数据分析,苏州,"移动互联网,消费生活","['增长黑客', 'SQL', '数据分析', '数据运营']",1-3年,8k-15k,B轮
钱大妈,大数据分析师,广州,消费生活,"['ETL', '数据仓库', 'Hive', 'Spark']",3-5年,15k-25k,C轮
悦跑圈,数据分析师（初级）,广州,移动互联网,"['数据分析', '数据运营', '数据库']",1年以下,4k-8k,C轮
懒人科技,数据分析师,福州,移动互联网,"['SQL', 'BI', '数据分析', '数据运营']",1-3年,8k-15k,不需要融资
GeexFinance,数据分析师,上海,金融,"['BI', '数据分析']",1-3年,10k-15k,A轮
东方新闻,数据分析师,上海,"移动互联网,社交","['SQL', '数据分析']",1-3年,10k-20k,不需要融资
百应科技,数据分析师,杭州,企业服务,['数据分析'],3-5年,8k-15k,A轮
信链科技,数据分析师（策略方向）,北京,"移动互联网,金融",['数据分析'],3-5年,20k-30k,A轮
博悦,数据分析师,深圳,"电商,其他","['商业', 'SQL', 'SPSS', '数据分析']",3-5年,12k-18k,A轮
Plum,数据分析师,北京,"电商,消费生活","['BI', '数据分析', 'SQL']",1-3年,15k-20k,B轮
爱奇艺,数据分析师,北京,文娱丨内容,['数据分析'],3-5年,15k-25k,上市公司
乐麦信息技术（杭州）有限公司,数据分析师,广州,电商,"['商业', 'BI', '数据分析']",1-3年,13k-25k,不需要融资
鹏开信息,数据分析,深圳,"移动互联网,信息安全",[],3-5年,15k-20k,不需要融资
易观,数据分析师,北京,"移动互联网,数据服务","['数据分析', 'BI', '增长黑客']",5-10年,20k-35k,B轮
Soul App,数据分析师,上海,"社交,文娱丨内容",['数据分析'],3-5年,20k-40k,C轮
一面数据,数据分析师（汽车行业）,深圳,"移动互联网,数据服务",[],不限,8k-15k,A轮
中移在线服务有限公司,大数据分析师,郑州,移动互联网,"['数据分析', 'SQL']",3-5年,15k-25k,不需要融资
新锐居品科技有限公司,数据分析师,深圳,"电商,消费生活","['数据分析', '数据运营', '可视化', 'BI']",1-3年,10k-18k,A轮
源慧信息,数据分析师,广州,消费生活,"['SQL', '数据分析', '数据库']",3-5年,15k-20k,上市公司
联洋国融,数据分析师,北京,数据服务,"['数据分析', '数据运营', 'DBA', 'SQL']",1-3年,15k-30k,天使轮
VIPKID,数据分析经理（用户）,北京,教育,['数据分析'],5-10年,15k-30k,D轮及以上
OPPO,数据分析师,深圳,硬件,"['数据库', 'BI', '数据分析', '数据运营']",5-10年,20k-40k,不需要融资
VIPKID,数据分析经理（用户）,北京,教育,['数据分析'],5-10年,15k-30k,D轮及以上
OPPO,数据分析师,深圳,硬件,"['数据库', 'BI', '数据分析', '数据运营']",5-10年,20k-40k,不需要融资
快手,数据分析师-【社区安全方向】,北京,文娱丨内容,[],3-5年,25k-50k,D轮及以上
立创商城,数据分析师（用户方向）,深圳,"电商,硬件",['数据分析'],3-5年,15k-25k,A轮
华资软件,数据分析师,广州,"移动互联网,数据服务","['数据分析', '数据库']",3-5年,10k-18k,上市公司
畅捷通,数据分析,北京,"企业服务,软件开发","['数据分析', '数据运营']",1-3年,12k-18k,上市公司
上海你我贷互联网金融信息服务,数据分析,上海,金融,['数据分析'],1-3年,15k-25k,上市公司
青团社,数据分析师,杭州,"移动互联网,企业服务","['BI', '数据分析']",1-3年,12k-20k,B轮
来电科技,数据分析师,深圳,"移动互联网,消费生活","['商业', 'BI', 'SQL', '数据分析']",1-3年,10k-15k,不需要融资
功道云科技,数据分析,北京,"移动互联网,教育","['可视化', 'SQL', '数据分析']",3-5年,15k-30k,未融资
轻易贷,数据分析师,北京,金融,"['数据分析', 'BI', '数据运营']",3-5年,15k-25k,上市公司
众安保险,数据分析师,上海,金融,"['数据库', '数据分析', 'SQL']",3-5年,20k-35k,上市公司
冰鉴科技,数据分析师,南京,"移动互联网,金融","['算法', '数据分析', '数据挖掘']",3-5年,15k-30k,B轮
爱卡汽车,数据分析师（资源分析）,北京,"移动互联网,社交",['数据分析'],3-5年,15k-20k,不需要融资
猎豹移动,数据分析师,北京,"移动互联网,信息安全","['SPSS', '数据分析', 'SQL', '商业']",1-3年,15k-25k,上市公司
齐聚科技（原呱呱视频）,数据分析师,北京,"移动互联网,游戏","['SQL', '数据分析', '商业']",3-5年,15k-20k,C轮
飞常准,（民航）数据分析师,上海,移动互联网,"['可视化', 'SPSS', '数据分析']",3-5年,10k-20k,不需要融资
悦跑圈,数据分析师（中级）,广州,移动互联网,"['数据分析', '数据运营', '数据库']",1-3年,8k-15k,C轮
瑞银信,数据分析,北京,"移动互联网,金融",['数据分析'],不限,10k-20k,不需要融资
BBD,数据分析师(J10386),北京,数据服务,"['信用管理', '风险分析', '资信评估', '风控']",1-3年,14k-25k,D轮及以上
玖富数科集团,数据分析师,北京,金融,"['SQL', '数据分析']",1-3年,10k-20k,D轮及以上
盖娅互娱,数据分析师,北京,"移动互联网,游戏",['数据分析'],不限,10k-15k,上市公司
有利网,数据分析师,北京,金融,"['SQL', '数据库', '数据分析']",1-3年,10k-15k,不需要融资
神策数据,数据分析师-北京,北京,数据服务,"['商业', 'BI', '可视化', '数据分析']",3-5年,15k-25k,C轮
杭州祖瑜数据科技有限公司,数据分析师,杭州,"移动互联网,数据服务","['数据分析', '数据运营', '数据库']",3-5年,9k-15k,不需要融资
广发银行信用卡中心,数据分析岗（业务方向）,广州,金融,"['商业', '可视化', 'SQL', '数据分析']",3-5年,15k-25k,不需要融资
苏州瑞鹏信息技术有限公司,数据分析师,苏州,"移动互联网,数据服务","['SPSS', '数据分析', 'SQL']",1-3年,12k-24k,不需要融资
赢商网,数据分析（实习）,广州,"移动互联网,企业服务","['数据分析', 'SPSS']",不限,3k-4k,上市公司
金十数据,数据分析（数据可视化方向）,广州,"移动互联网,金融",['数据分析'],不限,4k-6k,不需要融资
网营科技,数据分析师,杭州,电商,['数据分析'],1-3年,8k-10k,不需要融资
达达-京东到家,数据分析(上海）,上海,消费生活,['数据分析'],3-5年,15k-30k,D轮及以上
闪银奇异,数据分析师（商业分析团队）,北京,"移动互联网,金融","['数据分析', 'SQL']",1-3年,10k-15k,D轮及以上
点触科技,数据分析师,厦门,游戏,"['数据分析', '数据挖掘', 'MySQL']",3-5年,10k-20k,上市公司
同程艺龙,数据分析师,北京,旅游,"['SQL', '数据分析']",5-10年,15k-25k,上市公司
乐易网络,数据分析,深圳,"移动互联网,游戏","['数据分析', 'SQL']",1年以下,8k-12k,A轮
极米科技,数据分析师,成都,"电商,硬件","['数据分析', '数据运营', 'BI']",5-10年,12k-18k,D轮及以上
汇信科技,数据分析师,杭州,"移动互联网,电商",['数据分析'],3-5年,15k-20k,未融资
百融云创,数据分析师,上海,金融,['数据分析'],3-5年,15k-30k,C轮
阿卡索外教网,数据分析师,深圳,"教育,移动互联网","['SQL', 'SPSS']",3-5年,18k-30k,C轮
海致,数据分析师,深圳,"移动互联网,企业服务","['数据分析', 'BI', '数据库']",3-5年,18k-30k,C轮
独立日,数据分析师,上海,移动互联网,"['数据分析', '数据库']",不限,15k-25k,B轮
游动网络,数据分析师,厦门,游戏,"['数据分析', '数据库']",3-5年,10k-20k,上市公司
蜜獾信息,数据分析师（SB0902）,长沙,移动互联网,"['数据分析', 'SQLServer']",1-3年,8k-10k,不需要融资
爱数智慧,数据分析师,北京,人工智能,"['BI', '商业', '数据分析', '数据运营']",不限,10k-16k,A轮
OPPO,数据分析师,深圳,硬件,['SQL'],5-10年,25k-50k,不需要融资
泰康保险集团,数据分析师,北京,金融,"['数据分析', 'BI', '数据运营', '数据库']",3-5年,15k-20k,不需要融资
OKCoin,数据分析师,北京,金融,['数据分析'],3-5年,15k-30k,B轮
爱回收,数据分析师,上海,"电商,消费生活","['运营', '数据分析']",3-5年,15k-30k,D轮及以上
融山科技,数据分析师,广州,金融,"['BI', '数据分析', '数据库', 'SQL']",3-5年,15k-25k,不需要融资
返利网,数据分析师,上海,电商,['数据分析'],1-3年,10k-20k,C轮
伊澳科技,数据分析,北京,"移动互联网,电商","['BI', '数据分析']",3-5年,30k-50k,上市公司
神策数据,数据分析师-深圳,深圳,数据服务,"['商业', 'BI', '可视化', '数据分析']",3-5年,15k-25k,C轮
蜻蜓FM,数据分析师,上海,移动互联网,"['商业', '数据分析']",3-5年,15k-25k,D轮及以上
微聚未来,数据分析师-用户增长方向,北京,"移动互联网,金融","['数据分析', 'SQL']",3-5年,15k-30k,不需要融资
拼多多,数据分析,上海,"电商,移动互联网","['BI', '数据分析', 'SPSS']",5-10年,20k-35k,上市公司
DataCastle,数据分析师,成都,移动互联网,['数据分析'],1-3年,8k-10k,天使轮
眸事网,数据分析师,上海,"移动互联网,企业服务","['数据分析', 'SQL']",3-5年,8k-12k,天使轮
自如网,数据分析经理,北京,房产家居,"['数据分析', 'SPSS']",5-10年,15k-30k,A轮
IESR,数据分析师,广州,"教育,数据服务",['数据分析'],不限,8k-12k,不需要融资
星环科技,数据分析师 (MJ000268),上海,数据服务,['数据分析'],不限,10k-20k,C轮
凡科,数据分析师,广州,企业服务,['数据分析'],1-3年,10k-20k,上市公司
千寻位置,数据分析师,上海,移动互联网,"['数据分析', 'MySQL']",3-5年,20k-30k,不需要融资
海昊大数据,大数据分析师,北京,"数据服务,人工智能","['数据挖掘', '数据分析', '数据处理']",1-3年,7k-14k,不需要融资
网思科平,数据分析师,南京,"信息安全,数据服务","['SQL', '数据分析']",1-3年,16k-22k,C轮
妙健康,数据分析师,北京,移动互联网,"['数据分析', '数据运营']",1-3年,15k-30k,C轮
逸仙电商,数据分析师,广州,电商,"['数据分析', '数据库']",1-3年,8k-12k,B轮
百融云创,数据分析师,北京,金融,"['数据挖掘', '数据分析']",3-5年,15k-30k,C轮
网易,数据分析,广州,电商,"['SQL', '数据分析', '数据运营', 'BI']",3-5年,12k-24k,上市公司
本木医疗,数据分析师,北京,"移动互联网,消费生活","['SQLServer', 'Hive', '数据分析']",3-5年,15k-25k,不需要融资
爱莲化妆品,数据分析,广州,"电商,其他",[],不限,4k-8k,天使轮
飞常准,数据分析师,合肥,移动互联网,"['可视化', '数据分析', '数据库', '数据运营']",3-5年,7k-14k,不需要融资
迅游科技,数据分析师,重庆,"移动互联网,游戏","['数据挖掘', '数据分析']",3-5年,15k-30k,不需要融资
CMGE中手游,数据分析师,北京,"移动互联网,游戏",['数据分析'],1-3年,6k-12k,上市公司
大搜车,数据分析师（保险）13-01-19,杭州,汽车丨出行,"['MySQL', '数据挖掘']",不限,15k-25k,D轮及以上
信用算力,数据分析师,上海,"移动互联网,金融",['风控'],1-3年,15k-30k,B轮
爱奇艺,数据分析师,北京,文娱丨内容,"['数据分析', '数据运营']",3-5年,20k-35k,上市公司
彩食鲜,数据分析,北京,"电商,消费生活","['可视化', '数据分析']",3-5年,15k-30k,不需要融资
人人公司,数据分析师,北京,"社交,金融",['数据分析'],3-5年,15k-25k,上市公司
乐易网络,数据分析师,深圳,"移动互联网,游戏","['数据分析', '数据运营', 'BI', 'SQL']",1-3年,10k-15k,A轮
鸿研物流,数据分析师,上海,消费生活,"['可视化', 'SQL', '数据分析', '数据库']",3-5年,20k-25k,C轮
洛客科技,数据分析,北京,移动互联网,"['数据分析', '数据运营']",1-3年,7k-10k,不需要融资
大搜车,数据分析师（BI方向）10-01-21,杭州,汽车丨出行,['ETL'],3-5年,13k-25k,D轮及以上
海昊大数据,大数据分析师,天津,"数据服务,人工智能","['数据分析', '数据处理', 'ETL', '数据挖掘']",1-3年,7k-14k,不需要融资
马上金融,数据分析师,北京,"金融,移动互联网",['风控'],1-3年,15k-30k,不需要融资
微医集团,数据分析师(J10771),杭州,"移动互联网,医疗丨健康",['数据分析'],3-5年,15k-25k,C轮
猎豹移动,数据分析师,北京,"移动互联网,信息安全",['数据分析'],不限,15k-30k,上市公司
吉比特,数据分析师（挖掘方向）,深圳,游戏,"['数据分析', 'SPSS']",3-5年,15k-25k,上市公司
发现旅行,数据分析（业务策略）,北京,旅游,[],3-5年,20k-40k,B轮
有利网,数据分析,北京,金融,"['数据分析', '数据运营']",1-3年,10k-20k,不需要融资
还呗-智能信贷领先者,数据分析师,上海,金融,"['数据分析', 'BI']",3-5年,15k-30k,B轮
木槿科技,数据分析师（应届生）,深圳,数据服务,"['SQL', '数据分析']",不限,7k-14k,不需要融资
PPmoney互联网金融平台,数据分析师 (MJ001375),广州,金融,"['数据分析', '数据处理']",不限,7k-10k,上市公司
同盾信研,数据分析,杭州,"数据服务,人工智能","['数据分析', 'BI']",5-10年,15k-25k,不需要融资
木仓科技,数据分析,武汉,移动互联网,"['数据分析', 'SQL', '数据运营']",1-3年,6k-12k,B轮
滴滴优点,数据分析/数据产品,深圳,移动互联网,['数据分析'],3-5年,20k-30k,A轮
中诚信征信,数据分析师（风控建模方向）,北京,"数据服务,人工智能",['数据分析'],1-3年,15k-30k,不需要融资
天创信用,数据分析师（数据产品开发与建模）,北京,"移动互联网,金融","['数据分析', '数据运营', 'SQL']",3-5年,15k-30k,B轮
悦跑圈,数据分析师,广州,移动互联网,"['数据分析', '数据库', 'SQL']",1-3年,8k-15k,C轮
瑞银信,数据分析师,北京,"移动互联网,金融","['MySQL', '数据分析']",1-3年,10k-15k,不需要融资
拼多多,数据分析师,上海,"电商,移动互联网","['数据分析', 'Hive']",不限,15k-30k,上市公司
掌众集团,数据分析师（海外贷后方向）,北京,"移动互联网,金融","['数据分析', '数据运营']",1-3年,8k-15k,C轮
任拓数据科技（上海）有限公司,数据分析师,上海,"电商,数据服务","['数据分析', 'SQL', '数据库']",1-3年,8k-12k,不需要融资
网易,数据分析师,广州,电商,"['数据库', '数据分析', 'SQL', '可视化']",3-5年,15k-30k,上市公司
途虎养车网,数据分析师,上海,汽车丨出行,['数据分析'],3-5年,15k-30k,D轮及以上
屈臣氏中国,数据分析师（会员营销）,广州,消费生活,[],3-5年,10k-15k,不需要融资
风变科技（深圳）有限公司,数据分析师,深圳,"移动互联网,教育","['数据挖掘', '数据分析']",1-3年,10k-15k,A轮
金銮羊羊,数据分析师,深圳,移动互联网,['数据分析'],1-3年,15k-20k,未融资
卓越教育集团,数据分析师,广州,"消费生活,教育",['数据分析'],5-10年,15k-25k,不需要融资
吉比特,数据分析师,深圳,游戏,"['BI', '数据运营', 'SQL', '可视化']",不限,15k-20k,上市公司
爱卡汽车,数据分析师,北京,"移动互联网,社交","['数据分析', 'SQL']",3-5年,15k-20k,不需要融资
陌陌,【2020校招】数据分析师,北京,社交,"['数据分析', '数据运营']",应届毕业生,10k-20k,上市公司
驰骛科技ChiefClouds,数据分析师（数据运营）,上海,"数据服务,移动互联网","['数据分析', '数据运营', '数据库']",3-5年,10k-20k,A轮
冲顶,数据分析师,北京,移动互联网,['数据分析'],3-5年,20k-40k,C轮
数位科技,数据分析师,深圳,企业服务,['数据分析'],5-10年,25k-50k,B轮
达达-京东到家,数据分析师,北京,消费生活,"['BI', 'SQL', 'SPSS']",3-5年,20k-30k,D轮及以上
中信银行信用卡中心,数据分析岗,深圳,"移动互联网,金融","['数据挖掘', 'Hive']",3-5年,20k-40k,上市公司
美团点评,数据分析（业务策略）,北京,消费生活,['数据分析'],3-5年,12k-20k,上市公司
腾讯,29912-数据分析-增长,深圳,社交,"['数据库开发', '数据挖掘', 'ETL', 'MySQL']",3-5年,15k-30k,上市公司
途虎养车网,数据分析师,上海,汽车丨出行,"['BI', '可视化', '数据分析', 'SQL']",1-3年,15k-20k,D轮及以上
VIPKID,数据分析师,北京,教育,"['SQL', '数据库', '数据分析', '数据运营']",3-5年,15k-30k,D轮及以上
腾讯,23048-数据分析师,北京,社交,"['数据挖掘', '数据分析']",3-5年,18k-36k,上市公司
金山办公软件,数据分析师,北京,移动互联网,"['数据分析', 'SQL', '商业', '数据库']",1-3年,15k-25k,上市公司
立创商城,数据分析师（用户）,深圳,"电商,硬件","['数据分析', 'SQL', '数据库']",不限,6k-10k,A轮
音娱时光,数据分析师,北京,移动互联网,"['数据分析', 'SPSS']",1-3年,15k-25k,A轮
拼多多,数据分析师,上海,"电商,移动互联网","['数据分析', 'SQL']",1-3年,20k-40k,上市公司
东莞美宜佳,数据分析师,东莞,其他,"['数据挖掘', '数据分析']",1-3年,6k-10k,不需要融资
快手,数据分析师（业务分析）-【商业化】,北京,文娱丨内容,['数据分析'],3-5年,20k-40k,D轮及以上
91Act,游戏运营-数据分析方向,成都,游戏,"['数据分析', '效果跟踪']",3-5年,10k-20k,不需要融资
途虎养车网,数据分析师,上海,汽车丨出行,"['BI', '商业', 'SQL']",不限,20k-40k,D轮及以上
凤凰网,数据分析师,北京,文娱丨内容,"['数据分析', 'SQL']",不限,15k-20k,上市公司
番糖游戏,数据分析师,上海,游戏,['内容'],1-3年,8k-16k,未融资
美的电商,数据分析师,广州,电商,"['商业', '数据分析', 'SPSS', 'BI']",3-5年,8k-13k,上市公司
三七互娱,数据分析师（海外运营）,广州,游戏,['数据分析'],不限,10k-15k,上市公司
平安人寿,0222OQ-数据分析师,上海,金融,"['数据分析', 'SQL']",1-3年,15k-30k,上市公司
点众科技,数据分析师,北京,"移动互联网,文娱丨内容","['数据分析', '数据运营', '数据库']",1-3年,8k-16k,不需要融资
造作,数据分析师,北京,"消费生活,电商","['数据分析', 'SPSS']",5-10年,10k-15k,B轮
拼多多,数据分析师,上海,"电商,移动互联网",[],3-5年,15k-30k,上市公司
陌陌,数据分析师（产品）,北京,社交,['数据分析'],1-3年,18k-35k,上市公司
SHEIN,数据分析师 (MJ000443),南京,"电商,移动互联网","['跨境电商', '数据分析']",1-3年,6k-10k,C轮
中诚信征信,数据分析师（风控建模方向-上海）,上海,"数据服务,人工智能","['Java', '数据分析']",1-3年,15k-30k,不需要融资
e代驾,数据分析师,北京,"移动互联网,消费生活","['商业', '数据分析', '数据运营', 'SQL']",1-3年,10k-20k,D轮及以上
木槿科技,数据分析师（数据运营方向）,深圳,数据服务,"['数据分析', '数据运营']",1-3年,10k-20k,不需要融资
平安人寿,0222P3-数据分析师,上海,金融,"['数据分析', 'SQL']",1-3年,15k-30k,上市公司
艾天科技,数据分析师,上海,"企业服务,数据服务",['数据分析'],3-5年,10k-20k,不需要融资
成都爱找我科技有限公司,数据分析师,成都,"移动互联网,消费生活","['商业', '数据库', '数据分析']",3-5年,10k-20k,A轮
深圳白骑士大数据有限公司,数据分析师,深圳,"企业服务,金融","['SPSS', '数据库', 'SQL']",1-3年,8k-15k,A轮
光云科技,数据分析师,杭州,"电商,数据服务",['数据分析'],3-5年,15k-25k,不需要融资
数美,数据分析工程师,北京,"企业服务,数据服务","['数据挖掘', '数据分析']",1-3年,20k-40k,B轮
玖富数科集团,数据分析经理（金融） (MJ000099),北京,金融,['运营'],5-10年,15k-25k,D轮及以上
Magic Tavern,数据分析,北京,游戏,"['BI', 'SQL', '数据分析']",3-5年,30k-35k,不需要融资
玖富数科集团,数据分析经理（金融） (MJ000099),北京,金融,['运营'],5-10年,15k-25k,D轮及以上
Magic Tavern,数据分析,北京,游戏,"['BI', 'SQL', '数据分析']",3-5年,30k-35k,不需要融资
星际空间（天津）科技发展有限公司,大数据分析师,天津,移动互联网,['数据分析'],1-3年,15k-20k,不需要融资
百度文学,数据分析师,北京,文娱丨内容,['数据分析'],1-3年,15k-20k,未融资
流利说®,数据分析师（校招）,上海,教育,['数据分析'],应届毕业生,15k-20k,上市公司
美的电商,数据分析师,佛山,电商,"['数据分析', '数据运营', 'SPSS', '商业']",3-5年,8k-13k,上市公司
证通股份,数据分析师,上海,"移动互联网,金融",['数据分析'],3-5年,20k-35k,不需要融资
小回音,数据分析师,上海,"移动互联网,社交",['数据分析'],3-5年,10k-20k,未融资
即刻,数据分析师,上海,移动互联网,"['数据分析', 'SQL']",1-3年,12k-20k,C轮
美至科技,数据分析师,上海,"移动互联网,消费生活","['数据挖掘', '数据分析']",1-3年,15k-20k,A轮
采筑,数据分析(销售),深圳,电商,[],3-5年,10k-15k,天使轮
哔哩哔哩,数据分析师 (MJ001006),上海,"移动互联网,文娱丨内容","['商业', '数据分析', '增长黑客']",3-5年,20k-35k,上市公司
ZRobot,数据分析师,上海,"数据服务,企业服务",['数据分析'],3-5年,15k-30k,未融资
虎扑,数据分析师,上海,"移动互联网,文娱丨内容",['数据分析'],3-5年,20k-30k,D轮及以上
百融云创,数据分析师/高级数据分析师,北京,金融,"['数据挖掘', '数据分析']",3-5年,15k-25k,C轮
网易,数据分析师,广州,电商,"['Hadoop', '数据处理', '数据分析', 'MySQL']",3-5年,12k-24k,上市公司
台州银行,数据分析师（杭州）,杭州,金融,"['Hadoop', 'Hive', '数据挖掘', '数据分析']",3-5年,18k-25k,不需要融资
有利网,数据分析师,北京,金融,"['数据分析', 'SQL']",1-3年,15k-25k,不需要融资
本木医疗,数据分析师（反欺诈方向）,北京,"移动互联网,消费生活","['MySQL', 'SQLServer', '数据分析']",3-5年,15k-25k,不需要融资
雪球,数据分析师-用户增长方向,北京,金融,['数据分析'],3-5年,18k-35k,D轮及以上
车好多集团,数据分析,北京,消费生活,"['数据分析', '数据运营', 'SQL', '数据库']",3-5年,18k-35k,D轮及以上
微创软件,数据分析（赴腾讯）,北京,"企业服务,移动互联网","['可视化', 'SQL', '数据分析']",1-3年,7k-8k,不需要融资
木槿科技,数据分析师,深圳,数据服务,"['数据分析', 'SQL']",3-5年,10k-20k,不需要融资
东莞美宜佳,数据分析师,苏州,其他,[],1-3年,7k-9k,不需要融资
上海小牛互娱智能科技有限公司,数据分析师,上海,移动互联网,"['SQL', 'BI', '商业']",5-10年,20k-28k,未融资
乐信,数据分析师 （桔子理财） (MJ000539),深圳,金融,['风控'],不限,15k-30k,上市公司
华策,数据分析师,深圳,移动互联网,"['BI', 'SQL', '数据分析', '数据运营']",3-5年,10k-15k,未融资
TCL电子,数据分析师,深圳,"移动互联网,其他","['数据分析', 'SQL', 'SPSS']",3-5年,18k-30k,上市公司
长投学堂,数据分析师(KOL方向),上海,移动互联网,['数据分析'],不限,10k-20k,A轮
DataStory,数据分析师,北京,数据服务,"['商业', '数据分析', 'SPSS']",1-3年,12k-20k,B轮
